park,hour,weekday,season,Term,cars
North,6,Saturday,Winter,1.0,
North,6,Saturday,Winter,2.0,50.0
North,6,Sunday,Fall,0.0,80.0
North,6,Sunday,Fall,1.0,
North,6,Sunday,Fall,2.0,70.0
North,6,Sunday,Spring,0.0,39.0
North,6,Sunday,Spring,1.0,35.0
North,6,Sunday,Spring,2.0,41.0
North,6,Sunday,Summer,0.0,37.0
North,6,Sunday,Summer,1.0,36.0
North,6,Sunday,Summer,2.0,
North,6,Sunday,Winter,0.0,23.0
North,6,Sunday,Winter,1.0,
North,6,Sunday,Winter,2.0,45.0
North,7,Monday,Fall,0.0,5.0
North,7,Monday,Fall,1.0,
North,7,Monday,Fall,2.0,72.0
North,7,Monday,Spring,0.0,84.0
North,7,Monday,Spring,1.0,71.0
North,7,Monday,Spring,2.0,86.0
North,7,Monday,Summer,0.0,68.0
North,7,Monday,Summer,1.0,72.0
North,7,Monday,Summer,2.0,
North,7,Monday,Winter,0.0,24.0
North,7,Monday,Winter,1.0,
North,7,Monday,Winter,2.0,69.0
North,7,Tuesday,Fall,0.0,
North,7,Tuesday,Fall,1.0,
North,7,Tuesday,Fall,2.0,116.0
North,7,Tuesday,Spring,0.0,110.0
North,7,Tuesday,Spring,1.0,108.0
North,7,Tuesday,Spring,2.0,117.0
North,7,Tuesday,Summer,0.0,105.0
North,7,Tuesday,Summer,1.0,103.0
North,7,Tuesday,Summer,2.0,
North,7,Tuesday,Winter,0.0,38.0
North,7,Tuesday,Winter,1.0,
North,7,Tuesday,Winter,2.0,88.0
North,7,Wednesday,Fall,0.0,106.0
North,7,Wednesday,Fall,1.0,
North,7,Wednesday,Fall,2.0,119.0
North,7,Wednesday,Spring,0.0,107.0
North,7,Wednesday,Spring,1.0,118.0
North,7,Wednesday,Spring,2.0,127.0
North,7,Wednesday,Summer,0.0,107.0
North,7,Wednesday,Summer,1.0,102.0
North,7,Wednesday,Summer,2.0,
North,7,Wednesday,Winter,0.0,56.0
North,7,Wednesday,Winter,1.0,
North,7,Wednesday,Winter,2.0,130.0
North,7,Thursday,Fall,0.0,96.0
North,7,Thursday,Fall,1.0,
North,7,Thursday,Fall,2.0,114.0
North,7,Thursday,Spring,0.0,127.0
North,7,Thursday,Spring,1.0,114.0
North,7,Thursday,Spring,2.0,134.0
North,7,Thursday,Summer,0.0,96.0
North,7,Thursday,Summer,1.0,103.0
North,7,Thursday,Summer,2.0,
North,7,Thursday,Winter,0.0,57.0
