date,term_date,is_holiday,day_of_week,month,day_of_year,week_of_year,hour,weighted_day_of_year,year,is_month_start,is_month_end,sin_hour,cos_hour,sin_day,cos_day,sin_week,cos_week,sin_month,cos_month,is_day,day_duration,night_duration,lag_7_days_Occupancy
2024-08-07 23:00:00,False,False,2,8,220,32,23,22000,2024,0,0,-0.25881904510252157,0.9659258262890681,-0.5995514915196489,-0.8003361849976323,0.9749279121818236,-0.22252093395631434,-0.8660254037844385,-0.5000000000000004,0,0,23,278.0
2024-08-08 00:00:00,False,False,3,8,221,32,0,22100,2024,0,0,0.0,1.0,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0,0,0,212.0
2024-08-08 01:00:00,False,False,3,8,221,32,1,22100,2024,0,0,0.25881904510252074,0.9659258262890683,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0,0,1,172.0
2024-08-08 02:00:00,False,False,3,8,221,32,2,22100,2024,0,0,0.49999999999999994,0.8660254037844387,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0,0,2,141.0
2024-08-08 03:00:00,False,False,3,8,221,32,3,22100,2024,0,0,0.7071067811865476,0.7071067811865476,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0,0,3,134.0
2024-08-08 04:00:00,False,False,3,8,221,32,4,22100,2024,0,0,0.8660254037844386,0.5000000000000001,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0,0,4,116.0
2024-08-08 05:00:00,False,False,3,8,221,32,5,22100,2024,0,0,0.9659258262890683,0.25881904510252074,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0,0,5,109.0
2024-08-08 06:00:00,False,False,3,8,221,32,6,22100,2024,0,0,1.0,6.123233995736766e-17,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,1,6,0,99.0
2024-08-08 07:00:00,False,False,3,8,221,32,7,22100,2024,0,0,0.9659258262890683,-0.25881904510252063,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,1,5,0,97.0
2024-08-08 08:00:00,False,False,3,8,221,32,8,22100,2024,0,0,0.8660254037844387,-0.4999999999999998,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,1,4,0,97.0
2024-08-08 09:00:00,False,False,3,8,221,32,9,22100,2024,0,0,0.7071067811865476,-0.7071067811865475,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,1,3,0,90.0
2024-08-08 10:00:00,False,False,3,8,221,32,10,22100,2024,0,0,0.49999999999999994,-0.8660254037844387,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,1,2,0,90.0
2024-08-08 11:00:00,False,False,3,8,221,32,11,22100,2024,0,0,0.258819045102521,-0.9659258262890682,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,1,1,0,91.0
2024-08-08 12:00:00,False,False,3,8,221,32,12,22100,2024,0,0,1.2246467991473532e-16,-1.0,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,1,0,0,110.0
2024-08-08 13:00:00,False,False,3,8,221,32,13,22100,2024,0,0,-0.2588190451025208,-0.9659258262890683,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,1,-1,0,194.0
2024-08-08 14:00:00,False,False,3,8,221,32,14,22100,2024,0,0,-0.4999999999999997,-0.8660254037844388,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,1,-2,0,242.0
2024-08-08 15:00:00,False,False,3,8,221,32,15,22100,2024,0,0,-0.7071067811865471,-0.7071067811865479,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,1,-3,0,308.0
2024-08-08 16:00:00,False,False,3,8,221,32,16,22100,2024,0,0,-0.8660254037844385,-0.5000000000000004,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,1,-4,0,380.0
2024-08-08 17:00:00,False,False,3,8,221,32,17,22100,2024,0,0,-0.9659258262890683,-0.25881904510252063,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,1,-5,0,408.0
2024-08-08 18:00:00,False,False,3,8,221,32,18,22100,2024,0,0,-1.0,-1.8369701987210297e-16,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,1,-6,0,420.0
2024-08-08 19:00:00,False,False,3,8,221,32,19,22100,2024,0,0,-0.9659258262890684,0.2588190451025203,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0,0,19,431.0
2024-08-08 20:00:00,False,False,3,8,221,32,20,22100,2024,0,0,-0.8660254037844386,0.5000000000000001,-0.6132298262997502,-0.7899045386224707,0.43388373911755823,-0.900968867902419,-0.8660254037844385,-0.5000000000000004,0,0,20,434.0
