"TimestampUnix","Vehicles","Parkade"
"1717495140",469,"West"
"1717498740",501,"West"
"1717502340",492,"West"
"1717505940",496,"West"
"1717509540",498,"West"
"1717513140",473,"West"
"1717516740",339,"West"
"1717520340",181,"West"
"1717523940",121,"West"
"1717527540",96,"West"
"1717531140",53,"West"
"1717534740",43,"West"
"1717538340",26,"West"
"1717541940",12,"West"
"1717545540",14,"West"
"1717549140",9,"West"
"1717552740",11,"West"
"1717556340",12,"West"
"1717559940",11,"West"
"1717563540",12,"West"
"1717567140",23,"West"
"1717570740",111,"West"
"1717574340",186,"West"
"1717577940",336,"West"
"1717581540",452,"West"
"1717585140",507,"West"
"1717588740",498,"West"
"1717592340",499,"West"
"1717595940",497,"West"
"1717599540",473,"West"
"1717603140",307,"West"
"1717606740",180,"West"
"1717610340",108,"West"
"1717613940",85,"West"
"1717617540",66,"West"
"1717621140",59,"West"
"1717624740",50,"West"
"1717628340",40,"West"
"1717631940",23,"West"
"1717635540",21,"West"
"1717639140",21,"West"
"1717642740",20,"West"
"1717646340",21,"West"
"1717649940",23,"West"
"1717653540",38,"West"
"1717657140",117,"West"
"1717660740",180,"West"
"1717664340",314,"West"
"1717667940",421,"West"
"1717671540",459,"West"
"1717675140",476,"West"
"1717677060",463,"West"
"1717703940",470,"West"
"1717703940",470,"West"
"1717707540",470,"West"
"1717707540",470,"West"
"1717711140",436,"West"
"1717711140",436,"West"
"1717714740",295,"West"
"1717714740",295,"West"
"1717718340",191,"West"
"1717718340",191,"West"
"1717721940",135,"West"
"1717721940",135,"West"
"1717725540",110,"West"
"1717725540",110,"West"
"1717729140",76,"West"
"1717729140",76,"West"
"1717732740",59,"West"
"1717732740",59,"West"
"1717736340",44,"West"
"1717736340",44,"West"
"1717739940",24,"West"
"1717743540",27,"West"
"1717747140",29,"West"
"1717750740",30,"West"
"1717754340",29,"West"
"1717757940",27,"West"
"1717761540",27,"West"
"1717765140",36,"West"
"1717768740",100,"West"
"1717772340",146,"West"
"1717775940",237,"West"
"1717779540",295,"West"
"1717783140",332,"West"
"1717786740",332,"West"
"1717790340",356,"West"
"1717793940",378,"West"
"1717797540",354,"West"
"1717801140",242,"West"
"1717804740",160,"West"
"1717808340",129,"West"
"1717811940",85,"West"
"1717815540",62,"West"
"1717819140",55,"West"
"1717822740",30,"West"
"1717826340",24,"West"
"1717829940",25,"West"
"1717833540",21,"West"
"1717837140",23,"West"
"1717840740",26,"West"
"1717844340",27,"West"
"1717847940",28,"West"
"1717851540",28,"West"
"1717855140",34,"West"
"1717858740",33,"West"
"1717862340",52,"West"
"1717865940",59,"West"
"1717869540",63,"West"
"1717873140",85,"West"
"1717876740",135,"West"
"1717880340",216,"West"
"1717883940",292,"West"
"1717887540",301,"West"
"1717891140",262,"West"
"1717894740",204,"West"
"1717898340",127,"West"
"1717901940",64,"West"
"1717905540",57,"West"
"1717909140",30,"West"
"1717912740",22,"West"
"1717916340",27,"West"
"1717919940",34,"West"
"1717923540",35,"West"
